CALL_ID,DATE,CALL_TYPE,BRAND,SUMMARY
CS-2025-0418-017,2025-04-18,Customer Support - Deliverability,Harbor & Pine Home,"Investigated a sudden delivery decline tied to 10DLC EIN mismatch, error 30007, and carrier filtering on campaign CPN-61482."
CS-2025-0527-033,2025-05-27,Customer Support - Attribution,LumaLeaf Beauty,Reconciled Shopify and RelayFox revenue by identifying a duplicate checkout pixel and different attribution windows for campaign GLASS_SKIN_MAY.
CS-2025-0613-009,2025-06-13,Customer Support - Opt-in Flow,Northstar Nutrition,Fixed a STARTSTRONG keyword and double opt-in configuration that prevented WELCOME-V3 enrollments due to a missing SOURCE_KEYWORD event.
CS-2025-0709-028,2025-07-09,Customer Support - Billing and Overage,Alder & Ash Apparel,"Explained a 127,940-credit overage caused by MMS and multi-segment SMS in SUMMER_LINEN_DROP and outlined plan and copy changes."
CS-2025-0814-041,2025-08-14,Customer Support - List Import and Consent,Woven Weekend,"Reviewed a 38,412-contact import, suppressed records without consent timestamps, and corrected STOP/HELP auto-response routing."
CS-2025-1017-052,2025-10-17,Customer Support - Carrier Filtering Follow-up,Harbor & Pine Home,Followed up on tickets 84217 and 87263 after carrier filtering returned; traced the issue to unapproved campaign examples and a 10DLC suspension notice.
CS-2026-0108-014,2026-01-08,Customer Support - Subscription Attribution,Ember & Root Supplements,"Resolved a Recharge and Shopify attribution discrepancy for RESET-ROUTINE-0106 by separating first orders, rebills, refunds, and view-through revenue."
CS-2026-0219-026,2026-02-19,Customer Support - Welcome Flow,LumaLeaf Beauty,"Fixed the DEWY keyword flow by resolving double opt-in trigger logic, stale segment caching, and a quiet-hours delay in WELCOME-DEWY-V4."
CS-2026-0312-037,2026-03-12,Customer Support - Messaging Credits,Pacific Trail Gear,"Explained unexpected credit usage from UCS-2 segmentation, MMS fallback, and a RIDGELINE_DROP audience expansion; added budget alerts."
CS-2026-0403-061,2026-04-03,Customer Support - STOP and HELP Handling,Northstar Nutrition,"Investigated delayed STOP processing and incorrect HELP replies after a number migration, tied the issue to ticket 89876, and preserved consent audit records."
SD-2025-0311-006,2025-03-11,Sales Discovery - Competitive Displacement,Cedar Row Apparel,"Discovered Cedar Row's goals and Beacon pain points, modeled a 3.2x revenue-per-send lift, and addressed migration, pricing, and churn objections."
SE-2025-0923-019,2025-09-23,Sales Expansion - Enterprise Features,LumaLeaf Beauty,"Positioned AI copy, real-time segmentation, governance, and unique-code flows after LumaLeaf attribution ticket 84703 and before its creator expansion."
SD-2025-1106-024,2025-11-06,Sales Discovery - Shopify Plus Home Goods,Hearthlane Home,"Explored replacing Kestrel SMS with RelayFox for an 85,000-subscriber home-goods brand focused on flows, segmentation, and reliable revenue reporting."
SE-2026-0122-011,2026-01-22,Sales Expansion - AI and Retention,Northstar Nutrition,"Discussed AI copy, subscription segmentation, churn reduction, and governance using Northstar metrics before the later ticket 89876 compliance escalation."
SD-2026-0205-008,2026-02-05,Sales Discovery - Swimwear Prospect,Shorebird Swim,"Evaluated an Beacon replacement for a seasonal swimwear brand, focusing on list growth, MMS, segmentation, pricing, and measurable peak-season ROI."
SE-2026-0304-022,2026-03-04,Sales Expansion - Supplements Enterprise,Ember & Root Supplements,"Used the normalized attribution baseline from ticket 87991 to propose segmentation, AI copy, and subscription analytics with explicit ROI assumptions."
SD-2026-0514-031,2026-05-14,Sales Discovery - Beauty Competitive Review,Moss & Marrow Skincare,"Addressed Beacon displacement, consent governance, claims review, AI copy, and a 220,000-subscriber migration for a skincare brand."
SE-2026-0618-044,2026-06-18,Sales Expansion - Outdoor Gear Governance,Pacific Trail Gear,"Proposed governance, approvals, seasonal credits, and MMS optimization after billing ticket 89133 and the RIDGELINE_DROP credit spike."
CE-2025-1020-003,2025-10-20,Compliance Escalation - 10DLC Suspension,Harbor & Pine Home,"Formal remediation call for carrier case CO-99142 after ticket 87263; addressed campaign examples, co-marketing consent, frequency disclosures, and 10DLC reinstatement tests."
CE-2025-1203-012,2025-12-03,Compliance Escalation - Quiet Hours and STOP,Woven Weekend,Escalated ticket 86210 after a timezone fallback sent 417 messages before 8 a.m. local and legacy STOP acknowledgments were misrouted.
CE-2026-0224-007,2026-02-24,Compliance and Legal Escalation - Consent Dispute,LumaLeaf Beauty,"Investigated a DEWY keyword consent dispute tied to flow ticket 88420, a creator landing page, and a complaint alleging messages without express written consent."
CE-2026-0326-015,2026-03-26,Compliance Escalation - Post-Opt-out Sends,Alder & Ash Apparel,"Investigated 73 marketing messages sent after STOP because a scheduled batch used a stale suppression snapshot; imposed holds, audit retention, and queue remediation."
CE-2026-0406-002,2026-04-06,Compliance and Legal Escalation - Non-consented Partner List,Northstar Nutrition,"Escalated ticket 89876 over an 8,214-record IronHouse import, 2,006 messages, a 3.8% opt-out rate, and insufficient evidence of Northstar-specific express written consent."
CE-2026-0701-021,2026-07-01,Compliance Escalation - Migration Consent and Carrier Suspension,Moss & Marrow Skincare,"Paused a pilot after 34,106 spa-partner records entered a sendable segment, triggering carrier suspension code 30034 and a consent evidence review."
